x,y,landmark.number,specimen.number
10.93,13.999,5,25
11.475999999999999,14.5045,6,25
11.4765,15.01,7,25
11.5045,15.26275,8,25
11.4275,15.5155,9,25
7.6035,16.192999999999998,1,26
7.368,15.946499999999999,2,26
7.543,15.7,3,26
7.633500000000001,15.206999999999999,4,26
7.94,14.713999999999999,5,26
8.246500000000001,15.206999999999999,6,26
8.337,15.7,7,26
8.512,15.946499999999999,8,26
8.2765,16.192999999999998,9,26
9.565999999999999,17.154999999999998,1,27
9.506,16.8025,2,27
9.594999999999999,16.45,3,27
9.759,15.745,4,27
10.1,15.04,5,27
10.440999999999999,15.745,6,27
10.605,16.45,7,27
10.693999999999999,16.8025,8,27
10.634,17.154999999999998,9,27
5.2835,34.783,1,28
6.219,34.3015,2,28
6.327,33.82,3,28
6.455,32.857,4,28
6.66,31.894,5,28
6.865,32.857,6,28
6.993,33.82,7,28
7.101,34.3015,8,28
8.0365,34.783,9,28
18.5995,23.307,1,29
18.362499999999997,22.9135,2,29
18.43,22.52,3,29
18.7,21.733,4,29
19.4,20.945999999999998,5,29
20.099999999999998,21.733,6,29
20.369999999999997,22.52,7,29
20.4375,22.9135,8,29
20.200499999999998,23.307,9,29
12.546,20.738000000000003,1,30
12.524999999999999,20.329,2,30
12.616,19.92,3,30
12.804499999999999,19.102,4,30
13.28,18.284000000000002,5,30
13.7555,19.102,6,30
13.943999999999999,19.92,7,30
14.035,20.329,8,30
14.014,20.738000000000003,9,30
17.052,20.0325,1,31
16.962999999999997,19.80125,2,31
16.986,19.57,3,31
17.095499999999998,19.1075,4,31
17.88,18.645,5,31
18.6645,19.1075,6,31
18.773999999999997,19.57,7,31
18.797,19.80125,8,31
18.708,20.0325,9,31
16.619,32.469,1,32
16.6645,31.7795,2,32
16.814999999999998,31.09,3,32
17.015,29.711,4,32
17.7,28.332,5,32
18.384999999999998,29.711,6,32
18.585,31.09,7,32
18.7355,31.7795,8,32
18.781,32.469,9,32
12.091500000000002,21.352500000000003,1,33
11.955,20.931250000000002,2,33
11.837000000000002,20.51,3,33
11.790500000000002,19.6675,4,33
12.46,18.825000000000003,5,33
13.1295,19.6675,6,33
13.083,20.51,7,33
12.965000000000002,20.931250000000002,8,33
12.8285,21.352500000000003,9,33
19.068,34.6905,1,34
18.807000000000002,33.905249999999995,2,34
19.114,33.12,3,34
19.535,31.5495,4,34
20.12,29.979,5,34
20.705000000000002,31.5495,6,34
21.126,33.12,7,34
21.433,33.905249999999995,8,34
21.172,34.6905,9,34
18.8795,34.278,1,35
18.864,33.534,2,35
18.8765,32.79,3,35
19.106,31.302,4,35
19.87,29.814,5,35
20.634,31.302,6,35
20.863500000000002,32.79,7,35
20.876,33.534,8,35
20.860500000000002,34.278,9,35
16.813,28.9495,1,36
16.7825,28.32975,2,36
16.729499999999998,27.71,3,36
16.9705,26.4705,4,36
17.61,25.231,5,36
18.249499999999998,26.4705,6,36
18.4905,27.71,7,36
18.4375,28.32975,8,36
18.407,28.9495,9,36
16.471,25.0045,1,37
16.629,24.762249999999998,2,37
16.6725,24.52,3,37
16.9145,24.0355,4,37
17.55,23.551,5,37
18.1855,24.0355,6,37
18.427500000000002,24.52,7,37
18.471,24.762249999999998,8,37
18.629,25.0045,9,37
11.6375,19.8435,1,38
11.821,19.53675,2,38
11.912999999999998,19.23,3,38
12.091,18.616500000000002,4,38
12.54,18.003,5,38
12.988999999999999,18.616500000000002,6,38
13.167,19.23,7,38
13.258999999999999,19.53675,8,38
13.442499999999999,19.8435,9,38
26.3665,38.957,1,39
26.195,38.133500000000005,2,39
26.3625,37.31,3,39
26.7735,35.663000000000004,4,39
27.75,34.016000000000005,5,39
28.7265,35.663000000000004,6,39
29.1375,37.31,7,39
29.305,38.133500000000005,8,39
29.1335,38.957,9,39
27.782500000000002,35.14,1,40
27.8825,34.585,2,40
27.987000000000002,34.03,3,40
28.6505,32.92,4,40
29.46,31.810000000000002,5,40
30.2695,32.92,6,40
30.933,34.03,7,40
31.0375,34.585,8,40
31.1375,35.14,9,40
25.018,38.019999999999996,1,41
24.942999999999998,37.425,2,41
24.738,36.83,3,41
24.497,35.64,4,41
26.04,34.449999999999996,5,41
27.583,35.64,6,41
27.342,36.83,7,41
27.137,37.425,8,41
27.061999999999998,38.019999999999996,9,41
11.885,29.596,1,42
12.0485,29.043,2,42
12.179,28.49,3,42
12.4255,27.383999999999997,4,42
12.82,26.278,5,42
13.214500000000001,27.383999999999997,6,42
13.461,28.49,7,42
13.5915,29.043,8,42
13.755,29.596,9,42
24.638,38.0385,1,43
24.471,37.43425,2,43
24.3865,36.83,3,43
24.015,35.6215,4,43
25.67,34.413,5,43
27.325000000000003,35.6215,6,43
26.953500000000002,36.83,7,43
26.869000000000003,37.43425,8,43
26.702,38.0385,9,43
27.4295,33.396,1,44
27.099500000000003,32.993,2,44
26.628500000000003,32.59,3,44
26.991500000000002,31.784000000000002,4,44
28.03,30.978,5,44
29.0685,31.784000000000002,6,44
29.4315,32.59,7,44
28.9605,32.993,8,44
28.6305,33.396,9,44
20.6,22.6045,1,45
20.5825,22.33725,2,45
20.558,22.07,3,45
20.5515,21.5355,4,45
21.64,21.001,5,45
22.7285,21.5355,6,45
22.722,22.07,7,45
22.6975,22.33725,8,45
22.68,22.6045,9,45
28.788,31.009999999999998,1,46
28.2765,30.58,2,46
28.044,30.15,3,46
28.3615,29.29,4,46
29.52,28.43,5,46
30.6785,29.29,6,46
30.996,30.15,7,46
30.7635,30.58,8,46
30.252,31.009999999999998,9,46
24.8325,26.798000000000002,1,47
24.5195,26.434,2,47
24.491,26.07,3,47
24.676000000000002,25.342,4,47
25.78,24.614,5,47
26.884,25.342,6,47
27.069000000000003,26.07,7,47
27.0405,26.434,8,47
26.727500000000003,26.798000000000002,9,47
20.3255,34.207,1,48
20.3505,33.768499999999996,2,48
20.4345,33.33,3,48
20.8885,32.452999999999996,4,48
21.51,31.575999999999997,5,48
22.131500000000003,32.452999999999996,6,48
22.585500000000003,33.33,7,48
22.669500000000003,33.768499999999996,8,48
22.6945,34.207,9,48
16.5885,32.3205,1,49
16.5615,31.63525,2,49
16.511,30.95,3,49
16.413,29.5795,4,49
17.38,28.209,5,49
18.346999999999998,29.5795,6,49
18.249,30.95,7,49
18.1985,31.63525,8,49
18.171499999999998,32.3205,9,49
12.403,35.293,1,50
12.659,34.8365,2,50
12.8155,34.38,3,50
12.9465,33.467000000000006,4,50
13.49,32.554,5,50
14.0335,33.467000000000006,6,50
14.1645,34.38,7,50
14.321,34.8365,8,50
14.577,35.293,9,50
15.466000000000001,27.358,1,51
15.519,26.788999999999998,2,51
15.570500000000001,26.22,3,51
15.600000000000001,25.081999999999997,4,51
16.39,23.944,5,51
17.18,25.081999999999997,6,51
17.209500000000002,26.22,7,51
17.261,26.788999999999998,8,51
17.314,27.358,9,51
17.159499999999998,24.5015,1,52
16.982499999999998,24.07075,2,52
17.157,23.64,3,52
17.374499999999998,22.7785,4,52
18.06,21.917,5,52
18.7455,22.7785,6,52
18.962999999999997,23.64,7,52
19.1375,24.07075,8,52
18.9605,24.5015,9,52
16.3165,24.333000000000002,1,53
15.8815,23.9065,2,53
16.026500000000002,23.48,3,53
16.196,22.627,4,53
16.87,21.774,5,53
17.544,22.627,6,53
17.7135,23.48,7,53
17.8585,23.9065,8,53
17.4235,24.333000000000002,9,53
14.0195,28.2165,1,54
13.832,27.558249999999997,2,54
13.746500000000001,26.9,3,54
13.9635,25.583499999999997,4,54
14.47,24.267,5,54
14.976500000000001,25.583499999999997,6,54
15.1935,26.9,7,54
15.108,27.558249999999997,8,54
14.9205,28.2165,9,54
13.1755,21.0675,1,55
13.1215,20.65375,2,55
13.176499999999999,20.24,3,55
13.391,19.412499999999998,4,55
13.87,18.584999999999997,5,55
14.348999999999998,19.412499999999998,6,55
14.5635,20.24,7,55
14.6185,20.65375,8,55
14.564499999999999,21.0675,9,55
11.582,23.402,1,56
11.948500000000001,23.081000000000003,2,56
12.084000000000001,22.76,3,56
12.3255,22.118000000000002,4,56
12.72,21.476000000000003,5,56
13.114500000000001,22.118000000000002,6,56
13.356,22.76,7,56
13.4915,23.081000000000003,8,56
13.858,23.402,9,56
8.626,19.7765,1,57
8.723,19.34325,2,57
8.778,18.91,3,57
8.7875,18.0435,4,57
9.24,17.177,5,57
9.6925,18.0435,6,57
9.702,18.91,7,57
9.757,19.34325,8,57
9.854000000000001,19.7765,9,57
10.728000000000002,20.303,1,58
11.0135,19.9715,2,58
11.124500000000001,19.64,3,58
11.291500000000001,18.977,4,58
11.71,18.314,5,58
12.1285,18.977,6,58
12.2955,19.64,7,58
12.406500000000001,19.9715,8,58
12.692,20.303,9,58
2.7075,18.293,1,59
3.2845,17.9865,2,59
3.268,17.68,3,59
3.2984999999999998,17.067,4,59
3.44,16.454,5,59
3.5815,17.067,6,59
3.612,17.68,7,59
3.5955,17.9865,8,59
4.1725,18.293,9,59
12.508999999999999,15.469,1,60
12.270999999999999,15.1595,2,60
12.141,14.85,3,60
12.3645,14.231,4,60
12.78,13.612,5,60
13.1955,14.231,6,60
13.418999999999999,14.85,7,60
13.289,15.1595,8,60
13.051,15.469,9,60
6.4575,16.1155,1,61
6.5489999999999995,15.93775,2,61
6.8495,15.76,3,61
6.974,15.4045,4,61
7.21,15.049,5,61
7.446,15.4045,6,61
7.5705,15.76,7,61
7.871,15.93775,8,61
7.9625,16.1155,9,61
10.633,18.536,1,62
10.663,18.348,2,62
10.792,18.16,3,62
10.9355,17.784,4,62
11.36,17.408,5,62
11.7845,17.784,6,62
11.927999999999999,18.16,7,62
12.056999999999999,18.348,8,62
12.087,18.536,9,62
9.3845,15.599,1,63
9.42,15.2745,2,63
9.4335,14.95,3,63
9.549999999999999,14.300999999999998,4,63
9.93,13.652,5,63
10.31,14.300999999999998,6,63
10.426499999999999,14.95,7,63
10.44,15.2745,8,63
10.4755,15.599,9,63
13.756,18.7335,1,64
13.657,18.35675,2,64
13.528,17.98,3,64
13.7635,17.2265,4,64
14.24,16.473,5,64
14.7165,17.2265,6,64
14.952,17.98,7,64
14.823,18.35675,8,64
14.724,18.7335,9,64
12.6705,20.317999999999998,1,65
12.675,20.019,2,65
12.654,19.72,3,65
12.6545,19.122,4,65
13.32,18.523999999999997,5,65
13.9855,19.122,6,65
13.986,19.72,7,65
13.965,20.019,8,65
13.9695,20.317999999999998,9,65
11.3315,23.4255,1,66
11.3185,22.91275,2,66
11.419,22.4,3,66
11.606,21.374499999999998,4,66
12.02,20.348999999999997,5,66
12.434,21.374499999999998,6,66
12.620999999999999,22.4,7,66
12.721499999999999,22.91275,8,66
12.708499999999999,23.4255,9,66
10.2995,28.454500000000003,1,67
10.459999999999999,27.812250000000002,2,67
10.697,27.17,3,67
10.8165,25.8855,4,67
11.26,24.601000000000003,5,67
11.7035,25.8855,6,67
11.823,27.17,7,67
12.06,27.812250000000002,8,67
12.2205,28.454500000000003,9,67
11.3185,15.439,1,68
11.2695,15.179499999999999,2,68
11.2385,14.92,3,68
11.378,14.401,4,68
11.83,13.882,5,68
12.282,14.401,6,68
12.4215,14.92,7,68
12.3905,15.179499999999999,8,68
12.3415,15.439,9,68
10.7515,16.119,1,69
10.6685,15.8895,2,69
10.697,15.66,3,69
10.838,15.201,4,69
11.26,14.742,5,69
11.682,15.201,6,69
11.823,15.66,7,69
11.8515,15.8895,8,69
